Date,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
2020-01-02,72.96046447753906,209.19947814941406,94.90049743652344,118.55519104003906,331.34857177734375,135.91738891601562,166.77215576171875,42.41748046875,99.3162841796875,147.71856689453125,42.579261779785156,209.58897399902344,196.9404754638672,164.7215118408203,104.31085205078125,54.22626495361328,129.055908203125,123.53357696533203,48.14796447753906,180.96383666992188,119.8369140625,76.92662811279297,154.21563720703125,97.41293334960938,110.38224792480469,124.69458770751953,274.9464416503906,185.20870971679688,47.82746887207031,36.96915054321289
2020-01-03,72.25114440917969,207.77926635742188,93.74849700927734,117.3776626586914,330.7919006347656,134.0302734375,165.95321655273438,41.72542190551758,98.9727783203125,146.0240936279297,41.52567672729492,207.13815307617188,196.2859649658203,162.96302795410156,103.47896575927734,53.566707611083984,127.5617446899414,121.9034194946289,47.88529586791992,180.323974609375,118.80496978759766,76.2663345336914,152.29542541503906,97.14604949951172,109.63985443115234,124.25025177001953,272.16400146484375,183.73574829101562,47.3182487487793,36.64278793334961
2020-01-06,72.82686614990234,209.3737335205078,95.14399719238281,116.86895751953125,331.7660827636719,133.93997192382812,173.22372436523438,41.874351501464844,98.6374282836914,145.17684936523438,41.35931396484375,209.25796508789062,197.20948791503906,161.7330322265625,103.29410552978516,53.41518783569336,127.40257263183594,121.80647277832031,47.86777877807617,182.35177612304688,118.91815185546875,76.59232330322266,152.68907165527344,97.0602798461914,109.79192352294922,124.38628387451172,274.0533752441406,183.33843994140625,47.21640396118164,36.56819534301758
2020-01-07,72.48435974121094,207.40455627441406,95.34300231933594,116.25662994384766,335.28515625,132.17025756835938,175.77040100097656,41.602779388427734,97.37788391113281,145.2266845703125,41.34347152709961,210.63548278808594,195.9183807373047,161.8241424560547,103.3634262084961,52.523902893066406,128.1806182861328,119.73570251464844,47.50004577636719,182.62217712402344,118.43875885009766,74.5529556274414,151.29690551757812,97.01260375976562,109.11215209960938,122.56360626220703,272.3990173339844,182.8538818359375,46.6915168762207,36.22938919067383
2020-01-08,73.65033721923828,207.56141662597656,94.59850311279297,118.26316833496094,329.41009521484375,133.34402465820312,177.09866333007812,41.629058837890625,96.26555633544922,144.9276580810547,41.7712516784668,212.6658477783203,198.8501434326172,161.96084594726562,104.22612762451172,52.55955123901367,128.16293334960938,120.66974639892578,47.587581634521484,185.57833862304688,120.25631713867188,74.05148315429688,153.7068328857422,96.79341125488281,109.57726287841797,123.87849426269531,278.1423645019531,185.9839630126953,46.777687072753906,36.105064392089844
2020-01-09,75.2147445678711,208.18003845214844,95.05249786376953,120.40158081054688,334.3507080078125,133.0099334716797,179.36570739746094,41.45384979248047,96.11015319824219,144.35951232910156,41.34347152709961,216.99505615234375,201.8984832763672,163.1543731689453,105.32763671875,52.85367202758789,128.5430908203125,121.11035919189453,48.45442199707031,187.77735900878906,120.63581848144531,74.70343017578125,155.6270294189453,96.72666931152344,110.77579498291016,124.79432678222656,276.56317138671875,187.27285766601562,46.58375549316406,36.47804641723633
2020-01-10,75.384765625,207.5962677001953,94.15799713134766,119.9023208618164,327.96868896484375,131.94454956054688,179.9649200439453,41.287410736083984,95.23501586914062,144.1501922607422,40.796875,216.55674743652344,201.0288543701172,162.79905700683594,105.28909301757812,52.53281021118164,128.25132751464844,119.90313720703125,48.62077331542969,186.8040008544922,120.14983367919922,74.82878112792969,154.90696716308594,96.17383575439453,110.88312530517578,122.8809585571289,277.4185485839844,187.7767791748047,46.694583892822266,36.173439025878906
2020-01-13,76.99533081054688,206.4287567138672,94.56500244140625,121.08926391601562,328.26690673828125,132.56752014160156,183.61016845703125,42.02326202392578,95.41496276855469,143.41261291503906,41.470218658447266,219.32958984375,200.23983764648438,165.1588592529297,105.21978759765625,53.11215591430664,128.81715393066406,120.89885711669922,49.146121978759766,186.11904907226562,120.44940948486328,74.81205749511719,156.76963806152344,97.37482452392578,111.69705963134766,123.56108093261719,268.6954345703125,189.28851318359375,46.821231842041016,36.01803207397461
2020-01-14,75.95564270019531,209.11231994628906,93.47200012207031,121.3342056274414,330.3843078613281,132.4411163330078,181.8824005126953,41.86558532714844,95.12052154541016,144.7283172607422,41.38309097290039,219.73208618164062,199.7646484375,164.41171264648438,104.61895751953125,52.96954345703125,129.54214477539062,122.30878448486328,49.03229522705078,186.84909057617188,120.74899291992188,75.16307830810547,155.6654510498047,98.0992202758789,111.5271224975586,123.91474151611328,270.9419860839844,189.9862518310547,46.73415756225586,36.11128616333008
2020-01-15,75.63014221191406,210.5935516357422,93.10099792480469,122.29508209228516,327.8493957519531,131.4388885498047,180.82379150390625,42.058311462402344,94.98147583007812,143.85118103027344,41.40684509277344,219.32958984375,201.3605499267578,164.66683959960938,105.23519897460938,52.53281021118164,129.97537231445312,120.47588348388672,49.64519500732422,189.05714416503906,119.6904296875,76.50872039794922,156.6736297607422,97.97530364990234,112.66305541992188,124.74900817871094,278.6217346191406,193.62025451660156,46.78164291381836,35.83153533935547
